Region_code,Region_label,Civilstand_code,Civilstand_label,Alder_code,Alder_label,Kon_code,Kon_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
01,Stockholms län,OG,ogifta,55,55 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3589
01,Stockholms län,OG,ogifta,56,56 år,1,män,BE0101N1,Folkmängd,2024,2024,4234
01,Stockholms län,OG,ogifta,56,56 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3658
01,Stockholms län,OG,ogifta,57,57 år,1,män,BE0101N1,Folkmängd,2024,2024,4303
01,Stockholms län,OG,ogifta,57,57 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3792
01,Stockholms län,OG,ogifta,58,58 år,1,män,BE0101N1,Folkmängd,2024,2024,4381
01,Stockholms län,OG,ogifta,58,58 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3920
01,Stockholms län,OG,ogifta,59,59 år,1,män,BE0101N1,Folkmängd,2024,2024,4179
01,Stockholms län,OG,ogifta,59,59 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3719
01,Stockholms län,OG,ogifta,60,60 år,1,män,BE0101N1,Folkmängd,2024,2024,4210
01,Stockholms län,OG,ogifta,60,60 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3723
01,Stockholms län,OG,ogifta,61,61 år,1,män,BE0101N1,Folkmängd,2024,2024,3668
01,Stockholms län,OG,ogifta,61,61 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3307
01,Stockholms län,OG,ogifta,62,62 år,1,män,BE0101N1,Folkmängd,2024,2024,3445
01,Stockholms län,OG,ogifta,62,62 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3103
01,Stockholms län,OG,ogifta,63,63 år,1,män,BE0101N1,Folkmängd,2024,2024,3186
01,Stockholms län,OG,ogifta,63,63 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2829
01,Stockholms län,OG,ogifta,64,64 år,1,män,BE0101N1,Folkmängd,2024,2024,2837
01,Stockholms län,OG,ogifta,64,64 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2659
01,Stockholms län,OG,ogifta,65,65 år,1,män,BE0101N1,Folkmängd,2024,2024,2781
01,Stockholms län,OG,ogifta,65,65 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2445
01,Stockholms län,OG,ogifta,66,66 år,1,män,BE0101N1,Folkmängd,2024,2024,2680
01,Stockholms län,OG,ogifta,66,66 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2509
01,Stockholms län,OG,ogifta,67,67 år,1,män,BE0101N1,Folkmängd,2024,2024,2466
01,Stockholms län,OG,ogifta,67,67 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2293
