kpi,kpi_title,region_code,region,year,value_kr_per_inv,status
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0024,Region Västerbotten,2024,34989.9337,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0025,Region Norrbotten,2024,37933.3923,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0001,Region Stockholm,2024,3104.345,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0003,Region Uppsala,2024,3476.239,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0004,Region Sörmland,2024,3637.967,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0005,Region Östergötland,2024,3293.498,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0006,Region Jönköpings län,2024,3310.73,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0007,Region Kronoberg,2024,3407.9,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0008,Region Kalmar,2024,3442.229,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0009,Region Gotland,2024,4313.526,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0010,Region Blekinge,2024,3905.281,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0012,Region Skåne,2024,3276.574,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0013,Region Halland,2024,4042.611,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0014,Västra Götalandsregionen,2024,2799.493,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0017,Region Värmland,2024,3789.91,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0018,Region Örebro län,2024,3453.587,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0019,Region Västmanland,2024,3385.996,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0020,Region Dalarna,2024,3646.883,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0021,Region Gävleborg,2024,3552.878,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0022,Region Västernorrland,2024,3632.101,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0023,Region Jämtland Härjedalen,2024,3492.95,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0024,Region Västerbotten,2024,3215.502,
N70059,"Nettokostnad läkemedel, totalt (exkl. tandvård), kr/inv",0025,Region Norrbotten,2024,4094.602,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0001,Region Stockholm,2024,35420.592,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0003,Region Uppsala,2024,36093.569,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0004,Region Sörmland,2024,37251.858,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0005,Region Östergötland,2024,36806.322,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0006,Region Jönköpings län,2024,35904.532,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0007,Region Kronoberg,2024,36075.554,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0008,Region Kalmar,2024,37539.78,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0009,Region Gotland,2024,47153.564,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0010,Region Blekinge,2024,40681.07,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0012,Region Skåne,2024,35805.732,
