disease,region_name,region_code,year,metric,value
tbe,Dalarna,20,2005,cases,0.0
tbe,Dalarna,20,2005,incidence_per_100k,0.0
tbe,Dalarna,20,2006,cases,0.0
tbe,Dalarna,20,2006,incidence_per_100k,0.0
tbe,Dalarna,20,2007,cases,1.0
tbe,Dalarna,20,2007,incidence_per_100k,0.36
tbe,Dalarna,20,2008,cases,6.0
tbe,Dalarna,20,2008,incidence_per_100k,2.18
tbe,Dalarna,20,2009,cases,0.0
tbe,Dalarna,20,2009,incidence_per_100k,0.0
tbe,Dalarna,20,2010,cases,2.0
tbe,Dalarna,20,2010,incidence_per_100k,0.72
tbe,Dalarna,20,2011,cases,3.0
tbe,Dalarna,20,2011,incidence_per_100k,1.08
tbe,Dalarna,20,2012,cases,0.0
tbe,Dalarna,20,2012,incidence_per_100k,0.0
tbe,Dalarna,20,2013,cases,1.0
tbe,Dalarna,20,2013,incidence_per_100k,0.36
tbe,Dalarna,20,2014,cases,2.0
tbe,Dalarna,20,2014,incidence_per_100k,0.72
tbe,Dalarna,20,2015,cases,1.0
tbe,Dalarna,20,2015,incidence_per_100k,0.36
tbe,Dalarna,20,2016,cases,3.0
tbe,Dalarna,20,2016,incidence_per_100k,1.05
tbe,Dalarna,20,2017,cases,2.0
tbe,Dalarna,20,2017,incidence_per_100k,0.7
tbe,Dalarna,20,2018,cases,5.0
tbe,Dalarna,20,2018,incidence_per_100k,1.74
tbe,Dalarna,20,2019,cases,6.0
tbe,Dalarna,20,2019,incidence_per_100k,2.08
tbe,Dalarna,20,2020,cases,1.0
tbe,Dalarna,20,2020,incidence_per_100k,0.35
tbe,Dalarna,20,2021,cases,2.0
tbe,Dalarna,20,2021,incidence_per_100k,0.69
tbe,Dalarna,20,2022,cases,6.0
tbe,Dalarna,20,2022,incidence_per_100k,2.08
tbe,Dalarna,20,2023,cases,10.0
tbe,Dalarna,20,2023,incidence_per_100k,3.48
tbe,Dalarna,20,2024,cases,6.0
tbe,Dalarna,20,2024,incidence_per_100k,2.09
tbe,Dalarna,20,2025,cases,4.0
tbe,Dalarna,20,2025,incidence_per_100k,1.4
tbe,Gotland,09,1997,cases,0.0
tbe,Gotland,09,1997,incidence_per_100k,0.0
tbe,Gotland,09,1998,cases,0.0
tbe,Gotland,09,1998,incidence_per_100k,0.0
tbe,Gotland,09,1999,cases,0.0
tbe,Gotland,09,1999,incidence_per_100k,0.0
tbe,Gotland,09,2000,cases,0.0
tbe,Gotland,09,2000,incidence_per_100k,0.0
tbe,Gotland,09,2001,cases,0.0
tbe,Gotland,09,2001,incidence_per_100k,0.0
tbe,Gotland,09,2002,cases,0.0
tbe,Gotland,09,2002,incidence_per_100k,0.0
tbe,Gotland,09,2003,cases,0.0
tbe,Gotland,09,2003,incidence_per_100k,0.0
tbe,Gotland,09,2004,cases,0.0
tbe,Gotland,09,2004,incidence_per_100k,0.0
tbe,Gotland,09,2005,cases,0.0
tbe,Gotland,09,2005,incidence_per_100k,0.0
tbe,Gotland,09,2006,cases,1.0
tbe,Gotland,09,2006,incidence_per_100k,1.75
tbe,Gotland,09,2007,cases,3.0
tbe,Gotland,09,2007,incidence_per_100k,5.25
tbe,Gotland,09,2008,cases,3.0
tbe,Gotland,09,2008,incidence_per_100k,5.26
tbe,Gotland,09,2009,cases,0.0
tbe,Gotland,09,2009,incidence_per_100k,0.0
tbe,Gotland,09,2010,cases,0.0
tbe,Gotland,09,2010,incidence_per_100k,0.0
tbe,Gotland,09,2011,cases,2.0
tbe,Gotland,09,2011,incidence_per_100k,3.49
tbe,Gotland,09,2012,cases,0.0
tbe,Gotland,09,2012,incidence_per_100k,0.0
tbe,Gotland,09,2013,cases,1.0
tbe,Gotland,09,2013,incidence_per_100k,1.75
tbe,Gotland,09,2014,cases,0.0
tbe,Gotland,09,2014,incidence_per_100k,0.0
tbe,Gotland,09,2015,cases,6.0
tbe,Gotland,09,2015,incidence_per_100k,10.45
tbe,Gotland,09,2016,cases,1.0
tbe,Gotland,09,2016,incidence_per_100k,1.72
tbe,Gotland,09,2017,cases,1.0
tbe,Gotland,09,2017,incidence_per_100k,1.71
tbe,Gotland,09,2018,cases,3.0
tbe,Gotland,09,2018,incidence_per_100k,5.06
tbe,Gotland,09,2019,cases,3.0
tbe,Gotland,09,2019,incidence_per_100k,5.03
tbe,Gotland,09,2020,cases,0.0
tbe,Gotland,09,2020,incidence_per_100k,0.0
tbe,Gotland,09,2021,cases,1.0
tbe,Gotland,09,2021,incidence_per_100k,1.64
tbe,Gotland,09,2022,cases,1.0
tbe,Gotland,09,2022,incidence_per_100k,1.63
tbe,Gotland,09,2023,cases,0.0
tbe,Gotland,09,2023,incidence_per_100k,0.0
tbe,Gotland,09,2024,cases,0.0
tbe,Gotland,09,2024,incidence_per_100k,0.0
tbe,Gotland,09,2025,cases,3.0
tbe,Gotland,09,2025,incidence_per_100k,4.93
tbe,GÃ¤vleborg,?,1997,cases,0.0
tbe,GÃ¤vleborg,?,1997,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,1998,cases,0.0
tbe,GÃ¤vleborg,?,1998,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,1999,cases,0.0
tbe,GÃ¤vleborg,?,1999,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,2000,cases,0.0
tbe,GÃ¤vleborg,?,2000,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,2001,cases,0.0
tbe,GÃ¤vleborg,?,2001,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,2002,cases,0.0
tbe,GÃ¤vleborg,?,2002,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,2003,cases,0.0
tbe,GÃ¤vleborg,?,2003,incidence_per_100k,0.0
tbe,GÃ¤vleborg,?,2004,cases,0.0
