category,kpi,title,region_code,region,year,value
oncology,N60910,"Cancer incidence, age-std, per 100k",0014,Västra Götalandsregionen,2023,707.43665208
oncology,N60910,"Cancer incidence, age-std, per 100k",0017,Region Värmland,2023,625.72498913
oncology,N60910,"Cancer incidence, age-std, per 100k",0018,Region Örebro län,2023,701.62601257
oncology,N60910,"Cancer incidence, age-std, per 100k",0019,Region Västmanland,2023,613.68052823
oncology,N60910,"Cancer incidence, age-std, per 100k",0020,Region Dalarna,2023,614.18747921
oncology,N60910,"Cancer incidence, age-std, per 100k",0021,Region Gävleborg,2023,637.05195572
oncology,N60910,"Cancer incidence, age-std, per 100k",0022,Region Västernorrland,2023,554.76314384
oncology,N60910,"Cancer incidence, age-std, per 100k",0023,Region Jämtland Härjedalen,2023,698.41418277
oncology,N60910,"Cancer incidence, age-std, per 100k",0024,Region Västerbotten,2023,661.64890276
oncology,N60910,"Cancer incidence, age-std, per 100k",0025,Region Norrbotten,2023,487.96170412
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0001,Region Stockholm,2024,207.87
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0003,Region Uppsala,2024,191.08
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0004,Region Sörmland,2024,130.8
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0005,Region Östergötland,2024,206.9
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0006,Region Jönköpings län,2024,220.6
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0007,Region Kronoberg,2024,222.99
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0008,Region Kalmar,2024,161.77
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0009,Region Gotland,2024,185.7
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0010,Region Blekinge,2024,200.38
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0012,Region Skåne,2024,253.28
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0013,Region Halland,2024,203.54
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0014,Västra Götalandsregionen,2024,181.7
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0017,Region Värmland,2024,179.74
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0018,Region Örebro län,2024,175.93
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0019,Region Västmanland,2024,188.85
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0020,Region Dalarna,2024,165.28
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0021,Region Gävleborg,2024,188.8
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0022,Region Västernorrland,2024,155.7
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0023,Region Jämtland Härjedalen,2024,236.41
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0024,Region Västerbotten,2024,165.03
oncology_breast,N70345,"Breast cancer prevalence, per 100k",0025,Region Norrbotten,2024,148.79
