Landsting , "1997(tot)" , "1997(inc/100.000)" , "1998(tot)" , "1998(inc/100.000)" , "1999(tot)" , "1999(inc/100.000)" , "2000(tot)" , "2000(inc/100.000)" , "2001(tot)" , "2001(inc/100.000)" , "2002(tot)" , "2002(inc/100.000)" , "2003(tot)" , "2003(inc/100.000)" , "2004(tot)" , "2004(inc/100.000)" , "2005(tot)" , "2005(inc/100.000)" , "2006(tot)" , "2006(inc/100.000)" , "2007(tot)" , "2007(inc/100.000)" , "2008(tot)" , "2008(inc/100.000)" , "2009(tot)" , "2009(inc/100.000)" , "2010(tot)" , "2010(inc/100.000)" , "2011(tot)" , "2011(inc/100.000)" , "2012(tot)" , "2012(inc/100.000)" , "2013(tot)" , "2013(inc/100.000)" , "2014(tot)" , "2014(inc/100.000)" , "2015(tot)" , "2015(inc/100.000)" , "2016(tot)" , "2016(inc/100.000)" , "2017(tot)" , "2017(inc/100.000)" , "2018(tot)" , "2018(inc/100.000)" , "2019(tot)" , "2019(inc/100.000)" , "2020(tot)" , "2020(inc/100.000)" , "2021(tot)" , "2021(inc/100.000)" , "2022(tot)" , "2022(inc/100.000)" , "2023(tot)" , "2023(inc/100.000)" , "2024(tot)" , "2024(inc/100.000)" , "2025(tot)" , "2025(inc/100.000)"
"Skåne " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 62 , 5.34 , 240 , 20.52 , 201 , 16.97 , 221 , 18.46 , 257 , 21.19 , 269 , 21.88 , 198 , 15.94 , 217 , 17.33 , 198 , 15.68 , 214 , 16.80 , 173 , 13.42 , 185 , 14.19 , 183 , 13.82 , 171 , 12.72 , 183 , 13.43 , 174 , 12.63 , 87 , 6.26 , 101 , 7.20 , 211 , 14.92 , 203 , 14.28 , 180 , 12.60 , 230 , 16.05 , 69 , 4.81
"Stockholm " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 105 , 5.61 , 291 , 15.40 , 247 , 12.88 , 254 , 13.05 , 332 , 16.79 , 239 , 11.86 , 242 , 11.80 , 228 , 10.92 , 247 , 11.61 , 203 , 9.38 , 201 , 9.14 , 222 , 9.95 , 276 , 12.16 , 296 , 12.82 , 304 , 12.97 , 278 , 11.70 , 136 , 5.69 , 190 , 7.87 , 258 , 10.57 , 336 , 13.69 , 323 , 13.06 , 357 , 14.36 , 78 , 3.14
"Södermanland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11 , 4.21 , 31 , 11.84 , 36 , 13.68 , 34 , 12.84 , 50 , 18.71 , 42 , 15.64 , 35 , 12.94 , 44 , 16.16 , 34 , 12.38 , 56 , 20.18 , 39 , 13.90 , 40 , 14.10 , 43 , 14.93 , 40 , 13.73 , 51 , 17.31 , 36 , 12.10 , 23 , 7.68 , 25 , 8.28 , 35 , 11.57 , 51 , 16.89 , 33 , 10.94 , 43 , 14.31 , 11 , 3.66
"Uppsala " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10 , 3.31 , 19 , 6.24 , 29 , 9.06 , 63 , 19.51 , 52 , 15.91 , 44 , 13.27 , 50 , 14.90 , 49 , 14.48 , 37 , 10.82 , 45 , 13.03 , 40 , 11.46 , 45 , 12.71 , 37 , 10.24 , 45 , 12.20 , 34 , 9.03 , 42 , 10.95 , 12 , 3.09 , 22 , 5.57 , 41 , 10.23 , 50 , 12.36 , 51 , 12.50 , 62 , 15.10 , 9 , 2.19
"Värmland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 4.39 , 44 , 16.10 , 60 , 21.94 , 50 , 18.26 , 57 , 20.82 , 37 , 13.53 , 39 , 14.26 , 46 , 16.86 , 44 , 16.11 , 30 , 10.96 , 36 , 13.11 , 48 , 17.40 , 47 , 16.83 , 54 , 19.26 , 45 , 15.99 , 42 , 14.87 , 22 , 7.78 , 18 , 6.36 , 37 , 13.03 , 44 , 15.52 , 32 , 11.29 , 44 , 15.55 , 14 , 4.95
"Västerbotten " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 2.34 , 35 , 13.58 , 19 , 7.38 , 35 , 13.58 , 35 , 13.58 , 47 , 18.19 , 45 , 17.36 , 35 , 13.48 , 38 , 14.60 , 44 , 16.85 , 41 , 15.63 , 39 , 14.81 , 34 , 12.79 , 39 , 14.53 , 43 , 15.92 , 37 , 13.62 , 17 , 6.22 , 16 , 5.83 , 38 , 13.75 , 29 , 10.40 , 32 , 11.38 , 41 , 14.70 , 8 , 2.87
"Västernorrland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10 , 4.10 , 45 , 18.46 , 42 , 17.21 , 44 , 18.07 , 63 , 25.88 , 58 , 23.86 , 42 , 17.30 , 40 , 16.52 , 44 , 18.18 , 33 , 13.63 , 25 , 10.29 , 44 , 18.04 , 53 , 21.58 , 48 , 19.51 , 33 , 13.44 , 47 , 19.16 , 11 , 4.50 , 20 , 8.19 , 42 , 17.27 , 37 , 15.28 , 32 , 13.25 , 38 , 15.79 , 8 , 3.32
"Västmanland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 15 , 5.75 , 37 , 14.16 , 41 , 16.50 , 43 , 17.26 , 51 , 20.41 , 41 , 16.33 , 36 , 14.26 , 24 , 9.45 , 35 , 13.66 , 36 , 13.90 , 35 , 13.37 , 37 , 14.00 , 33 , 12.33 , 43 , 15.86 , 44 , 16.06 , 44 , 15.95 , 16 , 5.77 , 15 , 5.38 , 27 , 9.62 , 42 , 14.96 , 49 , 17.43 , 33 , 11.75 , 19 , 6.77
"Västra Götaland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 80 , 5.26 , 247 , 16.16 , 223 , 14.50 , 246 , 15.91 , 308 , 19.78 , 267 , 17.02 , 242 , 15.32 , 209 , 13.15 , 198 , 12.37 , 198 , 12.26 , 171 , 10.48 , 193 , 11.71 , 209 , 12.50 , 205 , 12.12 , 221 , 12.93 , 212 , 12.28 , 96 , 5.53 , 123 , 7.05 , 185 , 10.52 , 221 , 12.51 , 220 , 12.41 , 234 , 13.16 , 62 , 3.49
"Örebro " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9 , 3.29 , 62 , 22.62 , 52 , 18.91 , 62 , 22.48 , 78 , 28.11 , 58 , 20.81 , 58 , 20.70 , 64 , 22.75 , 55 , 19.43 , 56 , 19.62 , 40 , 13.88 , 55 , 18.90 , 59 , 20.00 , 49 , 16.39 , 41 , 13.56 , 38 , 12.47 , 30 , 9.82 , 18 , 5.87 , 32 , 10.40 , 40 , 12.98 , 39 , 12.65 , 56 , 18.16 , 9 , 2.92
